tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,inference_speed,training_time,training_error,testing_error,model_size
2,0.25,10,100,20,1,0.0,0.0007237672805786132,297.6401810646057,6.32200349748299,15.709519657346128,5057333
2,0.25,6,250,100,20,0.25,0.0012128114700317382,878.6797299385071,20.841122623443074,19.776446584635785,3048432
2,0.25,12,100,100,1,0.1,0.0007879734039306641,335.7861897945404,4.379436659103337,15.80868532459945,6067701
2,0.25,6,500,100,20,0.25,0.0003824472427368164,1087.955018043518,20.542858170762834,18.823811209182942,3077209
2,0.1,8,250,100,1,0.0,0.00046796798706054686,311.1071021556854,9.486131783074352,15.908790856808602,4063651
2,0.1,10,250,100,1,0.1,0.0005800724029541016,319.1180248260498,8.170752935575521,15.402375177494028,5079288
2,0.1,10,250,20,20,0.0,0.0005592823028564454,716.3677020072937,14.247344763551316,14.301894319855553,5080525
2,0.01,12,500,20,20,0.1,0.0007718801498413086,892.869115114212,22.619040969104013,21.25570880254498,6154238
2,0.01,8,250,20,1,0.0,0.000482177734375,286.3340721130371,22.63413155827968,22.105533468506373,4064329
2,0.1,12,250,100,20,0.25,0.0007447242736816406,1384.4535450935364,18.52504303088522,17.709045873836203,6096515
2,0.1,6,100,100,20,0.0,0.0003586292266845703,764.7621581554413,15.8030890427328,15.252267443949858,3036418
2,0.01,10,100,100,1,0.25,0.000670933723449707,314.58919501304626,20.208379037975828,20.520653773773475,5060359
2,0.25,8,500,100,20,0.0,0.0006024360656738282,1020.3067378997803,11.842502390285498,12.193194015532464,4102866
2,0.01,10,250,20,1,0.25,0.0005555868148803711,287.6355011463165,21.530005333371793,21.34721893324478,5080328
2,0.25,8,250,100,1,0.0,0.00046029090881347654,297.64466881752014,5.804119033920467,15.738478701946764,4061787
2,0.25,8,250,100,20,0.25,0.0004948854446411132,975.429123878479,18.62403348312497,18.335871414455355,4064538
2,0.1,8,250,20,20,0.1,0.0004519224166870117,630.5912120342255,16.266893806933595,16.02596208031606,4064536
2,0.1,12,250,20,20,0.1,0.0006536960601806641,793.6946070194244,14.786014287778501,14.497142673044413,6096646
